RamanShift,CaZn4
812.56,0.002912236
813.52,0.002805857
814.49,0.002719132
815.45,0.002652299
816.42,0.002658915
817.38,0.002799854
818.34,0.002941211
819.31,0.003076188
820.27,0.003272294
821.24,0.003489177
822.2,0.00367971
823.16,0.003816631
824.13,0.003919983
825.09,0.003955781
826.06,0.003910012
827.02,0.003843723
827.99,0.003824929
828.95,0.003908597
829.91,0.004101965
830.88,0.004357501
831.84,0.004600103
832.81,0.004843367
833.77,0.005142414
834.74,0.005421619
835.7,0.005549834
836.66,0.00549872
837.63,0.005558159
838.59,0.005874238
839.56,0.006170369
840.52,0.006328345
841.49,0.006354489
842.45,0.006352831
843.41,0.006400019
844.38,0.006510236
845.34,0.006585762
846.31,0.006598386
847.27,0.00658296
848.23,0.006539354
849.2,0.006495599
850.16,0.006550435
851.13,0.006880792
852.09,0.007070665
853.06,0.006914069
854.02,0.006650658
854.98,0.006500108
855.95,0.006498446
856.91,0.006539517
857.88,0.006659125
858.84,0.006779078
859.81,0.006784909
860.77,0.006676174
861.73,0.006531265
862.7,0.006429012
863.66,0.006369636
864.63,0.006338871
865.59,0.006394574
866.56,0.006450409
867.52,0.00629667
868.48,0.005983163
869.45,0.005763029
870.41,0.00580376
871.38,0.005764567
872.34,0.005586912
873.3,0.005467112
874.27,0.005317724
875.23,0.005116761
876.2,0.00495181
877.16,0.004933112
878.13,0.004936352
879.09,0.004770506
880.05,0.004537932
881.02,0.004326784
881.98,0.004137264
882.95,0.003954565
883.91,0.003741797
884.88,0.003506154
885.84,0.003344166
886.8,0.003345309
887.77,0.003368722
888.73,0.003265541
889.7,0.003012707
890.66,0.002774218
891.63,0.002662263
892.59,0.002610041
893.55,0.002580209
894.52,0.002565258
895.48,0.002603024
896.45,0.002708656
897.41,0.002859933
898.37,0.002981397
899.34,0.003019889
900.3,0.003081292
901.27,0.003241427
902.23,0.003432455
903.2,0.003532653
904.16,0.00347321
905.12,0.003436505
906.09,0.003567675
907.05,0.003783389
908.02,0.004053237
908.98,0.00436988
909.95,0.00470268
910.91,0.005021032
911.87,0.005294032
912.84,0.005629399
913.8,0.006089209
914.77,0.006565664
915.73,0.006996962
916.7,0.007390624
917.66,0.007793136
918.62,0.008196659
919.59,0.008515586
920.55,0.008757531
921.52,0.009015655
922.48,0.0092979
923.45,0.009651307
924.41,0.01009955
925.37,0.010674495
926.34,0.011313727
927.3,0.011962466
928.27,0.012502721
929.23,0.012847245
930.19,0.013042562
931.16,0.013214811
932.12,0.01352192
933.09,0.013901215
934.05,0.014257621
935.02,0.014734128
935.98,0.015164054
936.94,0.015459622
937.91,0.015684251
938.87,0.015981245
939.84,0.016319079
940.8,0.01662557
941.77,0.01698907
942.73,0.017353392
943.69,0.017670367
944.66,0.017948019
945.62,0.018177821
946.59,0.018367975
947.55,0.018542322
948.52,0.018814308
949.48,0.019094868
950.44,0.019262621
951.41,0.019325267
952.37,0.019387925
953.34,0.01958113
954.3,0.019937716
955.26,0.020229851
956.23,0.020277592
957.19,0.020186264
958.16,0.020094748
959.12,0.020134022
960.09,0.020346104
961.05,0.020690074
962.01,0.020993761
962.98,0.021116868
963.94,0.021165813
964.91,0.021157154
965.87,0.021057262
966.84,0.020915734
967.8,0.020831767
968.76,0.020772456
969.73,0.0207464
970.69,0.020903346
971.66,0.02111085
972.62,0.021268529
973.59,0.021343138
974.55,0.021334063
975.51,0.021249482
976.48,0.021189998
977.44,0.021365361
978.41,0.021600262
979.37,0.02164178
980.33,0.021379761
981.3,0.020982131
982.26,0.020760887
983.23,0.020860863
984.19,0.020926949
985.16,0.020772711
986.12,0.020626437
987.08,0.020547797
988.05,0.020452054
989.01,0.020313295
989.98,0.020165691
990.94,0.020094603
991.91,0.020168867
992.87,0.020200245
993.83,0.020103042
994.8,0.019911228
995.76,0.019710211
996.73,0.019500118
997.69,0.019168686
998.66,0.018698438
999.62,0.018330642
1000.58,0.018013738
1001.55,0.017626934
1002.51,0.01724777
1003.48,0.016963213
1004.44,0.016703968
1005.41,0.016400646
1006.37,0.01615744
1007.33,0.015861335
1008.3,0.015381102
1009.26,0.014812086
1010.23,0.01426803
1011.19,0.013827849
1012.15,0.013465591
1013.12,0.013102507
1014.08,0.012659323
1015.05,0.012356091
1016.01,0.012263753
1016.98,0.01218006
1017.94,0.01193699
1018.9,0.011533949
1019.87,0.011076785
1020.83,0.010671698
1021.8,0.010416798
1022.76,0.010205702
1023.73,0.009994203
1024.69,0.00972855
1025.65,0.009390912
1026.62,0.009061413
1027.58,0.008856458
1028.55,0.008785379
1029.51,0.008615457
1030.48,0.008283491
1031.44,0.007878812
1032.4,0.007509196
1033.37,0.007219819
1034.33,0.007001965
1035.3,0.006792618
1036.26,0.006655168
1037.23,0.006716593
1038.19,0.006687543
1039.15,0.006395211
1040.12,0.005984057
1041.08,0.005653848
1042.05,0.005486798
1043.01,0.005337652
1043.97,0.005078607
1044.94,0.004828072
1045.9,0.004723427
1046.87,0.004691813
1047.83,0.004605143
1048.8,0.004334576
1049.76,0.003953118
1050.72,0.003718066
1051.69,0.003786544
1052.65,0.00379989
1053.62,0.003610023
1054.58,0.003364317
1055.55,0.003201314
1056.51,0.003121436
1057.47,0.002995006
1058.44,0.002756755
1059.4,0.002462227
1060.37,0.002194913
1061.33,0.001927081
1062.3,0.001667907
1063.26,0.001445619
1064.22,0.001325748
1065.19,0.001308559
1066.15,0.001385205
1067.12,0.001396267
1068.08,0.001275887
1069.04,0.001117633
1070.01,0.000949533
1070.97,0.000828311
1071.94,0.000725637
1072.9,0.000585037
1073.87,0.000387281
1074.83,0.000208139
1075.79,9.50E-05
1076.76,1.95E-05
1077.72,1.04E-06
1078.69,3.95E-05
1079.65,0.000144955
1080.62,0.000269615
1081.58,0.00030874
1082.54,0.000242824
1083.51,0.000406393
1084.47,0.000695005
1085.44,0.000936254
1086.4,0.001043715
1087.37,0.001055235
1088.33,0.001095756
1089.29,0.00129057
1090.26,0.001572586
1091.22,0.001816703
1092.19,0.001993663
1093.15,0.002093678
