Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
2564.861,0.112444556,0.114710862,0.115117841,0.114331116,0.1126562,0.108505709,0.105699119,0.103623898,0.100252388,0.098920733,0.096256285,0.094392284,0.09359697,0.091297172,0.09123701
2565.343,0.112529446,0.114827075,0.115246248,0.114430186,0.112802294,0.108591052,0.105834696,0.103695792,0.100350009,0.098997399,0.09633411,0.094457406,0.093656228,0.091383936,0.091340892
2565.826,0.112647847,0.114990583,0.115408477,0.114564135,0.112970656,0.108719147,0.10600128,0.103797971,0.100475995,0.099109515,0.096442652,0.094564568,0.09376023,0.09151444,0.091476474
2566.308,0.112792423,0.115184661,0.115596078,0.11472331,0.113149277,0.108882582,0.106185719,0.103924294,0.100621034,0.099249927,0.096572202,0.094703736,0.093896393,0.091674018,0.091629627
2566.79,0.112956775,0.115390578,0.115797725,0.114896092,0.113326326,0.109068307,0.106373901,0.104066106,0.100775868,0.099406569,0.096715333,0.094862287,0.094050935,0.091849334,0.091787023
2567.272,0.113132243,0.115589055,0.116001549,0.115071569,0.113494376,0.109259456,0.10655246,0.104213793,0.100930327,0.099566255,0.096860904,0.09502781,0.094206102,0.092026132,0.091938129
2567.754,0.1133162,0.115771901,0.116199993,0.11524634,0.113652363,0.109443193,0.106715035,0.104362122,0.101077346,0.099720121,0.097006316,0.095192436,0.094351507,0.092197565,0.092078802
2568.236,0.113504875,0.115938931,0.116387657,0.115418262,0.113801166,0.109611462,0.106858096,0.104505483,0.101214518,0.099861868,0.097147431,0.09534898,0.094480726,0.092359289,0.092207245
2568.718,0.113696766,0.11609742,0.116564539,0.115586443,0.113944155,0.109760987,0.106983087,0.104642808,0.101340933,0.099990374,0.097284037,0.095495278,0.09459423,0.092508648,0.092324805
2569.2,0.113887738,0.116255374,0.116727937,0.115750875,0.114083436,0.109894345,0.107093965,0.104772014,0.101458249,0.100106655,0.097414276,0.095628267,0.094694108,0.09264375,0.092430035
2569.683,0.114074195,0.116417887,0.116878389,0.115907449,0.114218127,0.110014814,0.107193883,0.104891713,0.101565342,0.100212151,0.097536134,0.095747366,0.094783961,0.092761837,0.092523485
