Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3705.068,0.052570399,0.054067559,0.050348992,0.046870698,0.042437716,0.048851857,0.041356104,0.029906035,0.026027353,0.020507756,0.017853219,0.015385131,0.016373025,0.019582364,0.029432637,0.035606543
3705.55,0.052286123,0.053845533,0.050198361,0.046758351,0.042410428,0.04855335,0.041191778,0.029946942,0.026173283,0.020557604,0.018014892,0.015487423,0.01649885,0.019606607,0.029293489,0.035300724
3706.032,0.05195967,0.053569427,0.05000585,0.046604189,0.042327882,0.04813341,0.04091623,0.029860329,0.026170077,0.020371765,0.01797045,0.015336256,0.016359033,0.019329627,0.028763586,0.034555602
3706.514,0.051599079,0.053242019,0.049772338,0.046408844,0.042183166,0.047586959,0.040522298,0.029632944,0.0259925,0.019919708,0.017678982,0.014892938,0.0159071,0.018711263,0.027798772,0.03333534
3706.996,0.051195022,0.052856232,0.049487886,0.046166161,0.041975755,0.046896725,0.040002352,0.029274857,0.025652651,0.019187464,0.017142461,0.014160565,0.015145918,0.017751762,0.02636797,0.031598373
3707.478,0.050725632,0.052394939,0.049136017,0.045868567,0.041706698,0.04604444,0.039355503,0.028816695,0.025194022,0.01819191,0.016402058,0.013185165,0.014130267,0.016500793,0.024482644,0.029333289
3707.96,0.050169737,0.051846387,0.048702317,0.045510961,0.041382435,0.045026702,0.038592884,0.028298896,0.024677165,0.016987565,0.015531184,0.012050511,0.012954875,0.015050947,0.022216711,0.026603748
3708.442,0.049522481,0.051211346,0.048184465,0.045095602,0.041011767,0.043866646,0.037739426,0.027759496,0.024157929,0.015664677,0.014614052,0.010857746,0.011727274,0.013520337,0.019723273,0.02357611
3708.925,0.048805176,0.050515509,0.047597769,0.044636167,0.040606478,0.042620905,0.036834485,0.027231261,0.02367696,0.01434885,0.013734975,0.009712907,0.010551239,0.012037968,0.017225492,0.020523707
3709.407,0.048060165,0.049799279,0.046978606,0.044159271,0.040187675,0.041371658,0.035935974,0.026741063,0.023262751,0.013188954,0.012974531,0.008721882,0.009521646,0.010736689,0.014994882,0.017794749
3709.889,0.047341591,0.049118238,0.04637602,0.043703886,0.039787938,0.04021982,0.035114398,0.026329808,0.022953722,0.012356028,0.012426432,0.008000641,0.0087396,0.009762109,0.013327304,0.015764589
3710.371,0.04669791,0.04852167,0.045847767,0.043318666,0.039458019,0.039267143,0.034456312,0.026067517,0.022818548,0.01202724,0.01221009,0.007690069,0.008333993,0.009282752,0.012505639,0.01477085
3710.853,0.046154209,0.048043762,0.045441995,0.043048054,0.039258622,0.038594391,0.034046857,0.026051708,0.022964116,0.012355405,0.012467967,0.007944478,0.008461944,0.00947483,0.012743879,0.015034374
3711.335,0.045704002,0.047690675,0.045184732,0.042924451,0.039240971,0.038239983,0.033945199,0.026378593,0.023499693,0.013411192,0.013317865,0.008882535,0.009260849,0.010464636,0.014109401,0.016575022
3711.817,0.045316343,0.047438826,0.04506394,0.042947489,0.039422665,0.038176701,0.034152174,0.027089759,0.02448123,0.01512253,0.014781383,0.010510181,0.010766601,0.012243794,0.01644764,0.01914908
3712.299,0.044952193,0.047248572,0.045040077,0.04308524,0.039771911,0.038316507,0.034595184,0.028130105,0.0258505,0.017256069,0.016730336,0.012665065,0.012845958,0.014614312,0.019374574,0.022274514
3712.781,0.044589711,0.047080639,0.045057288,0.043277587,0.040209621,0.038540374,0.035149103,0.029344825,0.027429357,0.019470921,0.018893865,0.015037565,0.015200797,0.017213915,0.022376351,0.025368871
3713.264,0.044241407,0.046921027,0.045075238,0.043468567,0.040642146,0.03875351,0.035685043,0.030529962,0.028970206,0.021432537,0.020942655,0.017265638,0.017461105,0.019634645,0.024985908,0.027955311
