Wavenumber,t0,60s,180s,5m,8m,10m,20m,30m,60m,90m
743.9061,0.655771664,0.617154385,0.550205179,0.527978738,0.498368749,0.489814196,0.45848516,0.432015466,0.371820946,0.346457538
744.3882,0.654102224,0.615634253,0.548893435,0.526728665,0.497250943,0.488730171,0.457501758,0.431050519,0.371100372,0.3458272
744.8703,0.652504473,0.614167081,0.54762562,0.525536013,0.496169227,0.48768902,0.456542994,0.4301184,0.370394725,0.345206508
745.3524,0.650934463,0.612708784,0.546366645,0.524368191,0.495088747,0.486657125,0.45558051,0.429203029,0.369687033,0.344580501
745.8345,0.649338582,0.611211138,0.545078472,0.52318692,0.493975143,0.485594781,0.45458479,0.428282299,0.368963188,0.343937564
746.3167,0.647687843,0.609656095,0.543749048,0.521977455,0.492818527,0.484485908,0.453548162,0.42734482,0.368226051,0.343279272
746.7988,0.645995649,0.608069691,0.542400606,0.520756868,0.491641395,0.483345124,0.452488756,0.426398855,0.367493413,0.342622162
747.2809,0.64430813,0.606509618,0.541079753,0.519564992,0.490488734,0.482211892,0.451446318,0.425467405,0.366791038,0.341990643
747.763,0.642676404,0.605032091,0.539829082,0.518441918,0.489401086,0.481124456,0.450456873,0.424576376,0.366137941,0.341404204
748.2451,0.641123226,0.603660481,0.538663057,0.517396698,0.488392044,0.4801006,0.449536226,0.423736709,0.365533101,0.340866783
748.7272,0.639630516,0.602370529,0.537557302,0.516403985,0.487437633,0.479124978,0.448669271,0.422937909,0.364957296,0.340365977
749.2094,0.638147158,0.601105134,0.536460654,0.515411531,0.486492367,0.478160561,0.447819747,0.422152285,0.364380878,0.339879149
749.6915,0.636623902,0.599803939,0.535326237,0.514370191,0.485512494,0.477173002,0.446955581,0.421351698,0.36378299,0.339387595
750.1736,0.635042048,0.598440614,0.534135033,0.513260826,0.484483925,0.476150852,0.446063756,0.420523421,0.363163427,0.338888562
750.6557,0.633427154,0.59703498,0.532909273,0.51210542,0.483428658,0.475117008,0.445162168,0.419677948,0.362544069,0.338394449
751.1378,0.631836884,0.595641477,0.531696907,0.510953117,0.482393909,0.47411459,0.444286846,0.418843194,0.361957018,0.337927897
751.6199,0.630325784,0.594315726,0.530542132,0.509853839,0.481421946,0.473181354,0.443470792,0.418049083,0.361426811,0.337504062
