Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
710.1579,0.411277505,0.38596435,0.378025056,0.37356141,0.369660538,0.366215172,0.365147368,0.370197318,0.373485005,0.37570807,0.380748045,0.381276265,0.38393684,0.374200258,0.366057665
710.64,0.410484986,0.385181488,0.37726643,0.372803777,0.368918206,0.365500698,0.364430493,0.369430336,0.372701983,0.374957039,0.379993129,0.380530813,0.383154509,0.373456274,0.365372929
711.1221,0.409663626,0.384371644,0.376488373,0.372023279,0.368153887,0.364771089,0.363692842,0.368658667,0.371915624,0.374190833,0.379240394,0.379778203,0.382374758,0.372688751,0.364673337
711.6042,0.408792617,0.383520336,0.375672826,0.371207216,0.367352013,0.364006164,0.362921212,0.367865709,0.371111009,0.373390732,0.378471406,0.379004914,0.381579126,0.371895709,0.363948139
712.0864,0.407885557,0.382643435,0.374829407,0.370368093,0.366522508,0.363208639,0.362125699,0.367054001,0.370288532,0.372559494,0.37768478,0.378217308,0.380760466,0.371096536,0.363207889
712.5685,0.406978291,0.381775858,0.373985989,0.369536592,0.365692809,0.362398695,0.361330379,0.366241121,0.369462914,0.371718796,0.376893793,0.377433281,0.379930293,0.370319319,0.36247409
713.0506,0.406108312,0.380951135,0.373170638,0.368742025,0.364890546,0.361599618,0.360559331,0.365447577,0.368652018,0.370892878,0.376114103,0.376671127,0.379105679,0.369585622,0.361765115
713.5327,0.405290866,0.380181367,0.372392581,0.367993185,0.364127394,0.36082305,0.359821487,0.364682157,0.367865659,0.370095733,0.375351656,0.375935419,0.378301511,0.368898214,0.361085852
714.0148,0.40451009,0.379449491,0.371636507,0.367272486,0.363392262,0.360062006,0.359103447,0.363936074,0.367098537,0.369321842,0.374595353,0.375212436,0.377519973,0.368235731,0.360421836
714.4969,0.403726841,0.378715632,0.370870423,0.366544165,0.362658492,0.359293782,0.358379582,0.363185693,0.366331611,0.368550316,0.373822203,0.37447633,0.376747964,0.367566522,0.359748047
714.9791,0.402903627,0.377943682,0.370066653,0.365775002,0.361900593,0.358497033,0.357624262,0.36240836,0.365546233,0.367759476,0.373012388,0.373704034,0.375966029,0.366865662,0.359046305
715.4612,0.402025202,0.377117966,0.369218916,0.364954835,0.361111562,0.357665162,0.356830885,0.36159548,0.364735534,0.366939668,0.37216115,0.372889386,0.375158685,0.366127613,0.358313483
715.9433,0.401110107,0.376254159,0.368350373,0.364101447,0.360308131,0.356812723,0.356015178,0.360758968,0.36390756,0.366101532,0.371283553,0.372046105,0.374324343,0.365370574,0.357566392
716.4254,0.400196867,0.375387178,0.367499103,0.363252358,0.359520851,0.355968045,0.35520549,0.359924018,0.363083316,0.365267535,0.370407542,0.371202427,0.373472929,0.364624217,0.356832397
716.9075,0.399323592,0.374552932,0.366699455,0.362443916,0.358776768,0.355156937,0.354427258,0.359116412,0.362281057,0.364459157,0.36955789,0.37038241,0.372620126,0.363911489,0.356131828
717.3896,0.39850079,0.373762927,0.36595928,0.361687846,0.358078996,0.354387161,0.353685724,0.358342789,0.36150255,0.363679748,0.368740742,0.369592418,0.371773278,0.363233774,0.355465075
717.8718,0.397704563,0.372999111,0.365253061,0.360965192,0.357402627,0.353640864,0.352960111,0.357587331,0.360729735,0.362910389,0.367937467,0.368815152,0.370925636,0.362566147,0.354808096
718.3539,0.396884645,0.372218828,0.364532318,0.360231595,0.356701353,0.35288176,0.352212946,0.356815076,0.359928065,0.362115214,0.367112985,0.36801661,0.370056158,0.361867463,0.354123947
718.836,0.395989945,0.371378629,0.363747391,0.359440936,0.355928861,0.352072398,0.35140656,0.355990282,0.359065347,0.361260131,0.366232812,0.367163387,0.369140824,0.361101127,0.353377442
