Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
3978.91,0.042139576,0.044893264,0.043668065,0.042406103,0.039974589,0.035154775,0.033441853,0.029548414,0.02900993,0.023150864,0.020951453,0.018508242,0.017714831,0.019879087,0.025609063,0.028850279
3979.392,0.042129857,0.044870746,0.043659817,0.042382449,0.039962105,0.035109906,0.033382561,0.029470691,0.028933248,0.023063583,0.020869716,0.018412701,0.017599169,0.019776662,0.025494109,0.028749326
3979.874,0.042119736,0.044853438,0.04365249,0.042380971,0.039954747,0.035084639,0.033342558,0.029438987,0.028912565,0.023023768,0.020846734,0.018386653,0.017564961,0.019751699,0.025427619,0.028676827
3980.356,0.042111638,0.044844534,0.043641936,0.042394378,0.039940334,0.035071827,0.033311258,0.029428453,0.028912565,0.023004892,0.02083844,0.018383802,0.017562439,0.019753104,0.025376639,0.02861153
3980.838,0.042106643,0.044842682,0.043627334,0.042414106,0.039911154,0.035064375,0.03327721,0.029417918,0.028902843,0.022984104,0.020811461,0.018367516,0.017550925,0.019738445,0.025314464,0.028537714
3981.321,0.042103269,0.044848398,0.04361012,0.042433222,0.039867104,0.03506172,0.033238785,0.029395388,0.028867329,0.022951839,0.020750758,0.01831803,0.017508105,0.019685851,0.02523053,0.02845213
3981.803,0.042101923,0.044859995,0.04359475,0.042448057,0.039814579,0.035064375,0.033198629,0.029360055,0.028806966,0.022910313,0.020661927,0.018236938,0.017433836,0.019595462,0.025130907,0.028365491
3982.285,0.042102596,0.044876297,0.043586296,0.042458048,0.039763628,0.035076727,0.033162698,0.029319933,0.028734401,0.022869642,0.020563403,0.018139561,0.017340821,0.019485076,0.025033981,0.02829633
3982.767,0.042108264,0.044896458,0.043588755,0.042464879,0.039725516,0.035099136,0.033138065,0.029284953,0.028666002,0.022842008,0.020477869,0.018047016,0.017249805,0.019377546,0.024960972,0.028265153
3983.249,0.042122436,0.044921164,0.043604689,0.04247324,0.039707703,0.035132979,0.033130176,0.029262825,0.028616401,0.02283476,0.020422162,0.017975735,0.017178057,0.019293058,0.024926221,0.028281664
3983.731,0.042148347,0.044950239,0.043632458,0.04248629,0.039713793,0.035172334,0.033138879,0.029256979,0.028591403,0.022847394,0.020400379,0.017931565,0.017131954,0.019239386,0.024931571,0.028342218
3984.213,0.042185056,0.044983849,0.043668065,0.042504896,0.039738305,0.035210107,0.033160967,0.029263128,0.028587782,0.022871102,0.020405925,0.01790832,0.017108308,0.019212972,0.024966097,0.028430042
3984.695,0.042229321,0.045019646,0.043705825,0.042527071,0.039771799,0.035238692,0.033190384,0.029275628,0.028597653,0.022894608,0.020426209,0.017897736,0.017097841,0.019204074,0.025014021,0.028522257
