RamanShift,NBS2
1020.83,0.056297911
1021.8,0.05666096
1022.76,0.057066551
1023.73,0.05748062
1024.69,0.057860958
1025.65,0.058190409
1026.62,0.058485248
1027.58,0.058804686
1028.55,0.059211101
1029.51,0.059676273
1030.48,0.060122807
1031.44,0.060506191
1032.4,0.060867691
1033.37,0.06128256
1034.33,0.061797604
1035.3,0.062389233
1036.26,0.062954274
1037.23,0.063464097
1038.19,0.063963021
1039.15,0.064499264
1040.12,0.065046773
1041.08,0.065548626
1042.05,0.065958366
1043.01,0.066308472
1043.97,0.066693687
1044.94,0.067167824
1045.9,0.067697343
1046.87,0.068226458
1047.83,0.068686608
1048.8,0.069060728
1049.76,0.069383616
1050.72,0.06974437
1051.69,0.070178501
1052.65,0.070640249
1053.62,0.071076111
1054.58,0.071467539
1055.55,0.071834955
1056.51,0.07218844
1057.47,0.072537674
1058.44,0.072890758
1059.4,0.073213205
1060.37,0.073419996
1061.33,0.073527732
1062.3,0.073622344
1063.26,0.073774885
1064.22,0.073993496
1065.19,0.074239239
1066.15,0.074479778
1067.12,0.074650519
1068.08,0.074702639
1069.04,0.074690816
1070.01,0.074658126
1070.97,0.07463854
1071.94,0.07462224
1072.9,0.074542802
1073.87,0.074337753
1074.83,0.074028729
1075.79,0.073692839
1076.76,0.073365967
1077.72,0.073044972
1078.69,0.072733044
1079.65,0.072436404
1080.62,0.07212299
1081.58,0.07174781
1082.54,0.071357202
1083.51,0.071115402
1084.47,0.070925326
1085.44,0.070626682
1086.4,0.070157541
1087.37,0.069533001
1088.33,0.068826196
1089.29,0.068127593
1090.26,0.067515172
1091.22,0.066961165
1092.19,0.066408979
1093.15,0.065869242
1094.11,0.065311098
1095.08,0.064676679
1096.04,0.06392025
1097.01,0.063074693
1097.97,0.062250612
1098.94,0.061516208
1099.9,0.06086765
1100.86,0.060263949
1101.83,0.059602908
1102.79,0.058819188
1103.76,0.057915725
1104.72,0.056970224
1105.69,0.056059962
1106.65,0.055228515
1107.61,0.054457006
1108.58,0.053714037
1109.54,0.05297365
1110.51,0.052222184
1111.47,0.051448449
1112.44,0.050648342
1113.4,0.049806153
1114.36,0.048904625
1115.33,0.04800631
1116.29,0.04721813
1117.26,0.046533537
1118.22,0.045914716
1119.18,0.045294196
1120.15,0.044604924
1121.11,0.043818248
1122.08,0.042979662
1123.04,0.042181491
1124.01,0.041485384
1124.97,0.040825072
1125.93,0.040125319
1126.9,0.03934317
1127.86,0.038500764
1128.83,0.037677166
1129.79,0.03694267
1130.76,0.036288
1131.72,0.035636761
1132.68,0.035011805
1133.65,0.034408764
1134.61,0.033750597
1135.58,0.033032274
1136.54,0.032301717
1137.51,0.031600608
1138.47,0.03091807
1139.43,0.030264799
1140.4,0.029659215
1141.36,0.029077651
1142.33,0.028492521
1143.29,0.02790807
1144.25,0.027325147
1145.22,0.02673605
1146.18,0.026124381
1147.15,0.025537679
1148.11,0.024972678
1149.08,0.02438583
1150.04,0.023818256
1151,0.023259822
1151.97,0.022684654
1152.93,0.022108032
1153.9,0.021566792
1154.86,0.021068582
1155.83,0.02057198
1156.79,0.020050599
1157.75,0.019517565
1158.72,0.018978193
1159.68,0.018434901
1160.65,0.017919397
1161.61,0.017457889
1162.58,0.01705076
1163.54,0.016629439
1164.5,0.016135906
1165.47,0.015644006
